Index,Semester,Type,Course,Pre-Post,SI1,SI2,SI3,SI4,SI5,Science_ID_AVE,CM1,CM2,CM3,CM4,CM5,Career_Mot_AVE,IM1,IM2,IM3,IM4,IM5,Intrinsic_Mot_AVE,SD1,SD2,SD3,SD4,SD5,SelfDetermition_AVE,SE1,SE2,SE3,SE4,SE5,SelfEfficacy_AVE,GM1,GM2,GM3,GM4,GM5,Grade_Mot_AVE,Overall_SCI_MOT,Sci_Comp1,Sci_Comp2,Sci_Comp3,Sci_Comp4,Sci_Competancy_Ave,Per_Comm_Orient1,Per_Comm_Orient2,Per_Comm_Orient3,Per_Comm_Orient4,Persol_Comm_Orient_AVE,Sci_Comm_Orient1,Sci_Comm_Orient2,Sci_Comm_Orient3,Sci_Comm_Orient4,Sci_Comm_Orient_AVE,Resilience1,Resilience2,Resilience3,Resilience4,Resilience_AVE,Major,Career,Gender,Ethnicity,ParentsGradCollege,Dependents,Med-Condition,Med-Condition_Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fall 2021,Non-Major,BIOL1010,Pre,2,3,2,3,3,2.6,4,5,4,5,4,4.4,3,2,3,2,3,2.6,3,4,4,4,4,3.8,3,2,3,3,4,3,5,4,5,4,4,4.4,3.64,1,3,2,2,2,6,7,7,7,6.75,6,7,7,7,6.75,,,,,,10,5,1,8,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fall 2021,Non-Major,BIOL1010,Pre,4,5,5,5,4,4.6,5,5,5,5,5,5,5,5,4,4,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.92,5,4,4,3,4,6,6,6,6,6,6,6,6,6,6,,,,,,10,1,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fall 2021,Non-Major,BIOL1010,Pre,4,4,3,4,3,3.6,4,5,5,5,5,4.8,5,5,5,4,4,4.6,3,3,3,3,2,2.8,4,5,4,4,4,4.2,5,5,5,5,4,4.8,4.24,3,1,1,3,2,6,5,7,6,6,6,7,6,6,6.25,,,,,,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fall 2021,Major,BIOL1610,Pre,5,5,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.4,1,1,1,1,1,1,5,5,5,5,5,5,1.88,2,3,3,3,2.75,4,4,5,5,4.5,4,6,4,5,4.75,,,,,,1,6,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Fall 2021,Major,BIOL1610,Pre,5,4,4,4,3,4,4,5,5,5,4,4.6,5,5,5,4,4,4.6,4,4,4,4,4,4,4,5,5,5,5,4.8,5,5,4,4,1,3.8,4.36,2,3,4,5,3.5,3,3,5,5,4,3,6,6,5,5,,,,,,5,12,6,12,No,0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Fall 2021,Non-Major,BIOL1010,Pre,2,1,1,1,1,1.2,4,3,4,5,3,3.8,4,5,5,5,4,4.6,3,3,4,2,2,2.8,3,5,4,4,4,4,5,5,5,5,5,5,4.04,2,4,2,3,2.75,7,7,7,7,7,4,6,5,5,5,,,,,,11,9,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fall 2021,Major,BIOL1610,Pre,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4.6,5,4,4,4,4,4.2,4,5,4,4,4,4.2,5,5,5,5,5,5,4.6,2,1,2,1,1.5,6,6,6,6,6,6,6,6,6,6,,,,,,10,5,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Summer 2021,Major,BIOL1610,Pre,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,4,4.2,4,4,4,5,4,4.2,4,4,4,4,4,4,5,5,5,5,4,4.8,4.44,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,10,4,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Summer 2021,Major,BIOL1610,Pre,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4.2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,10,4,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fall 2021,Major,BIOL1610,Pre,3,5,5,4,3,4,5,5,5,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,5,5,4,4,5,4.6,5,5,5,5,5,5,4.72,4,4,2,4,3.5,4,5,6,5,5,5,5,6,5,5.25,,,,,,11,6,6,10,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Summer 2021,Major,BIOL1610,Pre,4,5,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3.8,4.16,4,5,5,4,4.5,4,3,4,3,3.5,4,5,5,5,4.75,4,3,4,3,3.5,9,10,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fall 2021,Major,BIOL1610,Pre,4,5,4,4,4,4.2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4.8,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,,,,,,10,5,6,7,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Fall 2021,Non-Major,BIOL1010,Pre,1,4,3,3,3,2.8,4,5,5,4,4,4.4,4,4,4,5,4,4.2,4,3,3,3,3,3.2,4,5,4,4,4,4.2,4,4,4,4,4,4,4,4,3,3,4,3.5,6,4,7,5,5.5,5,6,5,5,5.25,,,,,,8,7,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fall 2021,Major,BIOL1610,Pre,5,5,4,4,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4.6,5,5,5,5,5,5,5,5,5,5,3,4.6,4.84,4,4,3,5,4,6,6,6,6,6,6,6,6,6,6,,,,,,1,1,1,5,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Summer 2021,Major,BIOL1610,Pre,3,4,3,4,3,3.4,1,1,2,2,1,1.4,2,2,2,3,3,2.4,3,2,2,3,3,2.6,4,4,4,4,4,4,5,5,5,5,3,4.6,3,3,4,3,4,3.5,5,3,6,3,4.25,5,5,5,4,4.75,4,5,4,4,4.25,10,12,6,10,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Summer 2021,Major,BIOL1610,Pre,2,2,3,3,3,2.6,4,4,4,4,4,4,5,4,4,3,3,3.8,4,4,4,3,3,3.6,4,4,4,3,4,3.8,4,4,5,4,3,4,3.84,2,3,3,4,3,4,5,4,6,4.75,5,6,4,6,5.25,3,5,5,4,4.25,10,5,6,7,No,1,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fall 2021,Non-Major,BIOL1010,Pre,5,4,2,4,3,3.6,4,5,5,5,5,4.8,5,5,5,5,5,5,3,4,4,3,3,3.4,4,5,4,4,4,4.2,5,5,5,5,5,5,4.48,4,4,1,3,3,4,1,4,4,3.25,4,7,7,7,6.25,,,,,,10,4,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fall 2021,Major,BIOL1610,Pre,4,4,2,3,3,3.2,5,5,5,5,5,5,4,4,5,4,4,4.2,3,3,2,3,2,2.6,2,4,2,3,4,3,5,5,5,5,5,5,3.96,4,2,3,4,3.25,5,5,5,5,5,5,5,5,5,5,,,,,,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fall 2021,Major,BIOL1610,Pre,3,4,4,4,4,3.8,1,2,1,3,2,1.8,3,2,3,4,3,3,2,2,2,1,2,1.8,4,3,4,4,4,3.8,5,4,4,5,4,4.4,2.96,4,3,3,3,3.25,5,6,6,6,5.75,4,5,6,4,4.75,,,,,,10,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fall 2021,Non-Major,BIOL1010,Pre,4,5,3,4,3,3.8,4,4,4,5,5,4.4,5,5,4,4,5,4.6,3,3,4,3,4,3.4,4,3,4,4,5,4,5,3,3,3,3,3.4,3.96,4,4,3,4,3.75,6,5,7,6,6,5,5,7,7,6,,,,,,11,12,1,10,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Spring 2022,Non-Major,BIOL1010,Pre,4,2,1,1,3,2.2,4,4,4,4,2,3.6,5,5,4,5,5,4.8,5,5,5,3,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,4.56,4,3,4,4,3.75,5,4,5,3,4.25,4,4,4,5,4.25,,,,,,9,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Fall 2021,Non-Major,BIOL1010,Pre,4,4,4,4,3,3.8,5,5,5,5,5,5,5,4,5,5,5,4.8,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,3,4.4,4.44,3,4,3,4,3.5,5,6,7,7,6.25,6,7,7,7,6.75,,,,,,11,12,6,7,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fall 2021,Major,BIOL1610,Pre,1,2,3,1,3,2,5,5,5,5,5,5,3,2,3,4,3,3,5,5,5,5,4,4.8,3,2,2,4,4,3,5,5,5,5,2,4.4,4.04,2,1,1,4,2,6,5,6,6,5.75,5,5,5,5,5,,,,,,1,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Summer 2021,Major,BIOL1610,Pre,5,5,4,5,4,4.6,5,5,5,5,5,5,5,5,5,4,5,4.8,4,4,5,3,3,3.8,4,5,4,5,5,4.6,5,5,5,5,,5,4.64,3,3,4,3,3.25,6,6,6,6,6,3,3,3,2,2.75,3,3,3,3,3,10,1,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fall 2021,Non-Major,BIOL1010,Pre,4,4,3,2,2,3,4,4,5,4,4,4.2,4,4,3,3,4,3.6,4,4,3,4,4,3.8,4,4,3,4,4,3.8,4,3,2,3,2,2.8,3.64,4,4,3,4,3.75,6,6,6,7,6.25,5,5,6,6,5.5,,,,,,1,5,1,8,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fall 2021,Major,BIOL1610,Pre,4,4,3,4,4,3.8,1,1,1,1,1,1,5,4,5,4,4,4.4,4,4,5,4,4,4.2,4,4,4,4,4,4,5,5,5,5,5,5,3.72,2,2,2,2,2,5,5,6,6,5.5,5,5,5,5,5,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Summer 2021,Major,BIOL1610,Pre,4,4,3,5,3,3.8,5,5,5,5,5,5,5,4,4,5,5,4.6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4.8,4.48,4,2,2,4,3,4,4,5,5,4.5,5,5,5,5,5,3,4,4,2,3.25,10,5,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Fall 2021,Major,BIOL1610,Pre,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,,,,,,10,1,6,1,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Spring 2022,Non-Major,BIOL1010,Pre,3,2,2,2,2,2.2,4,4,4,5,4,4.2,5,5,5,5,5,5,5,5,4,5,4,4.6,3,2,1,3,4,2.6,5,5,5,5,3,4.6,4.2,3,2,4,4,3.25,6,6,7,6,6.25,6,6,6,5,5.75,,,,,,9,12,10,11,Yes,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Fall 2021,Major,BIOL1610,Pre,4,2,1,3,4,2.8,5,5,5,3,4,4.4,4,4,4,5,3,4,4,4,5,4,3,4,4,5,4,3,5,4.2,5,5,5,5,5,5,4.32,5,4,3,4,4,6,6,6,6,6,6,6,6,6,6,,,,,,11,12,6,7,No,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Fall 2021,Major,BIOL1610,Pre,1,1,5,5,3,3,3,1,5,5,1,3,5,4,4,3,3,3.8,5,5,5,3,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,4.24,3,3,4,5,3.75,6,6,6,6,6,6,6,5,3,5,,,,,,3,10,6,8,Unsure,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fall 2021,Major,BIOL1610,Pre,4,4,4,4,4,4,4,5,5,5,5,4.8,5,4,4,4,5,4.4,5,4,5,4,4,4.4,5,5,4,4,4,4.4,5,4,5,5,2,4.2,4.44,3,3,4,4,3.5,6,6,6,5,5.75,5,5,5,5,5,,,,,,10,5,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Fall 2021,Non-Major,BIOL1010,Pre,3,3,1,4,2,2.6,4,4,4,4,4,4,4,4,3,4,4,3.8,4,4,4,2,4,3.6,2,2,2,2,4,2.4,5,4,4,4,5,4.4,3.64,2,3,2,3,2.5,7,7,7,7,7,4,4,4,4,4,,,,,,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Fall 2021,Major,BIOL1610,Pre,3,4,3,4,3,3.4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,4,6,6,6,6,6,6,6,6,6,6,,,,,,10,5,6,1,No,5,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Spring 2022,Non-Major,BIOL1010,Pre,2,4,1,2,2,2.2,2,2,2,4,2,2.4,4,4,4,4,4,4,2,2,4,3,2,2.6,2,4,4,4,4,3.6,4,5,5,5,5,4.8,3.48,2,2,2,4,2.5,5,4,5,5,4.75,5,5,4,4,4.5,,,,,,3,3,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fall 2021,Major,BIOL1610,Pre,2,3,2,3,3,2.6,3,4,4,4,4,3.8,3,4,4,3,3,3.4,4,4,5,4,4,4.2,4,4,4,4,3,3.8,4,4,5,4,4,4.2,3.88,2,3,2,3,2.5,5,5,5,5,5,5,5,5,4,4.75,,,,,,10,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fall 2021,Major,BIOL1610,Pre,2,2,2,2,2,2,4,2,2,4,2,2.8,4,4,2,3,3,3.2,3,4,4,4,3,3.6,3,4,4,4,4,3.8,5,5,5,5,2,4.4,3.56,2,2,1,2,1.75,5,4,5,5,4.75,4,6,3,3,4,,,,,,10,12,1,7,No,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
